LOCATION,FREQUENCY,TIME,Unit Code,Value
AUS,A,2013,PC,5.655742783
AUS,A,2014,PC,6.073024958
AUS,A,2015,PC,6.061502267
AUT,A,2013,PC,5.358333333
AUT,A,2014,PC,5.641666667
AUT,A,2015,PC,5.733333333
BEL,A,2013,PC,8.45
BEL,A,2014,PC,8.533333333
BEL,A,2015,PC,8.5
CAN,A,2013,PC,7.083333333
CAN,A,2014,PC,6.908333333
CAN,A,2015,PC,6.908333333
CZE,A,2013,PC,6.966666667
CZE,A,2014,PC,6.116666667
CZE,A,2015,PC,5.058333333
DNK,A,2013,PC,7
DNK,A,2014,PC,6.533333333
DNK,A,2015,PC,6.166666667
FIN,A,2013,PC,8.191666667
FIN,A,2014,PC,8.658333333
FIN,A,2015,PC,9.375
FRA,A,2013,PC,10.275
FRA,A,2014,PC,10.3
FRA,A,2015,PC,10.39166667
DEU,A,2013,PC,5.241666667
DEU,A,2014,PC,4.991666667
DEU,A,2015,PC,4.633333333
GRC,A,2013,PC,27.49166667
GRC,A,2014,PC,26.55
GRC,A,2015,PC,24.95833333
HUN,A,2013,PC,10.11666667
HUN,A,2014,PC,7.741666667
HUN,A,2015,PC,6.833333333
ISL,A,2013,PC,5.391666667
ISL,A,2014,PC,4.958333333
ISL,A,2015,PC,3.991666667
IRL,A,2013,PC,13.09166667
IRL,A,2014,PC,11.30833333
IRL,A,2015,PC,9.45
ITA,A,2013,PC,12.13333333
ITA,A,2014,PC,12.65
ITA,A,2015,PC,11.89166667
JPN,A,2013,PC,4.025
JPN,A,2014,PC,3.591666667
JPN,A,2015,PC,3.375
KOR,A,2013,PC,3.125
KOR,A,2014,PC,3.541666667
KOR,A,2015,PC,3.641666667
LUX,A,2013,PC,5.875
LUX,A,2014,PC,6.05
LUX,A,2015,PC,6.45
MEX,A,2013,PC,4.929466149
MEX,A,2014,PC,4.828957749
MEX,A,2015,PC,4.352942909
NLD,A,2013,PC,7.241666667
NLD,A,2014,PC,7.425
NLD,A,2015,PC,6.891666667
NZL,A,2013,PC,5.75
NZL,A,2014,PC,5.375
NZL,A,2015,PC,5.35
NOR,A,2013,PC,3.5
NOR,A,2014,PC,3.533333333
NOR,A,2015,PC,4.375
POL,A,2013,PC,10.34166667
POL,A,2014,PC,9.016666667
POL,A,2015,PC,7.525
PRT,A,2013,PC,16.45833333
PRT,A,2014,PC,14.125
PRT,A,2015,PC,12.65833333
SVK,A,2013,PC,14.225
SVK,A,2014,PC,13.20833333
SVK,A,2015,PC,11.49166667
ESP,A,2013,PC,26.11666667
ESP,A,2014,PC,24.45
ESP,A,2015,PC,22.075
SWE,A,2013,PC,8
SWE,A,2014,PC,7.933333333
SWE,A,2015,PC,7.4
CHE,A,2013,PC,4.389276482
CHE,A,2014,PC,4.538605458
CHE,A,2015,PC,4.548488337
TUR,A,2013,PC,8.725
TUR,A,2014,PC,9.958333333
TUR,A,2015,PC,10.30833333
GBR,A,2013,PC,7.558333333
GBR,A,2014,PC,6.158333333
GBR,A,2015,PC,5.325
USA,A,2013,PC,7.375
USA,A,2014,PC,6.166666667
USA,A,2015,PC,5.291666667
CHL,A,2013,PC,5.932377615
CHL,A,2014,PC,6.391403532
CHL,A,2015,PC,6.213718664
EST,A,2013,PC,8.566666667
EST,A,2014,PC,7.383333333
EST,A,2015,PC,6.208333333
ISR,A,2013,PC,6.208333333
ISR,A,2014,PC,5.908333333
ISR,A,2015,PC,5.241666667
SVN,A,2013,PC,10.14166667
SVN,A,2014,PC,9.733333333
SVN,A,2015,PC,9
EU28,A,2013,PC,10.86666667
EU28,A,2014,PC,10.225
EU28,A,2015,PC,9.416666667
